depth [ft],Calcite ,Chlorite,Dolomite,Hematite,Illite,K-Feldspar,Kaolinite,Porosity,Quartz,Clay,Bulk
5168.75,0,0.02477,0,0,0.06449,0.11567,0,0.10796,0.68711,0.10024,23.98213793
5169.25,0,0.03624,0,0,0.07748,0.13487,0,0.0952,0.6562,0.12768,26.09786207
5169.75,0,0.05109,0,0,0.08018,0.15241,0,0.08353,0.6328,0.1473,29.3177931
5170.25,0,0.06081,0,0,0.08343,0.16401,0,0.07777,0.61399,0.16181,31.93475862
5170.75,0,0.05672,0,0,0.09043,0.16386,0,0.08195,0.60704,0.16512,32.50931034
5171.25,0,0.04312,0,0,0.09362,0.14356,0.00974,0.0847,0.62526,0.16392,32.44668966
5171.75,0,0.03324,0,0,0.08982,0.121,0,0.08412,0.67182,0.1382,31.86448276
5172.25,0,0.03327,0,0,0.08739,0.12163,0,0.07121,0.68649,0.13551,31.6717931
5172.75,0,0.04249,0,0,0.09458,0.15799,0,0.05735,0.64759,0.15389,31.48462069
5173.25,0,0.05213,0,0,0.10322,0.19981,0.00524,0.05399,0.58562,0.17998,30.80213793
5173.75,0,0.03863,0,0,0.10808,0.19173,0.01872,0.06463,0.57821,0.18478,28.72786207
5174.25,0,0.01415,0,0,0.09773,0.1355,0.01872,0.09019,0.64371,0.14578,26.06262069
5174.75,0,0.00458,0,0,0.0628,0.08838,0.01872,0.11209,0.71343,0.09579,23.39165517
5175.25,0.00894,0.00439,0,0,0.03213,0.06313,0,0.12894,0.76246,0.04106,21.10951724
5175.75,0.01535,0.00569,0,0,0.01877,0.05352,0,0.13456,0.77211,0.02748,20.28165517
5176.25,0.02015,0.00128,0,0,0.02988,0.04725,0,0.13774,0.76371,0.03505,20.56551724
5176.75,0.01567,0.00384,0,0,0.01733,0.04785,0,0.14233,0.77299,0.02379,21.64924138
5177.25,0.00915,0.00277,0,0,0.0175,0.04411,0,0.14324,0.78323,0.02278,22.78551724
5177.75,0.00379,0.00201,0,0,0.01681,0.04176,0,0.13842,0.79721,0.02116,23.62062069
5178.25,0.00324,0.00171,0,0,0.0144,0.04386,0,0.13311,0.80369,0.01811,24.24137931
5178.75,0.00813,0.00149,0,0,0.0131,0.04829,0,0.13428,0.7947,0.01641,24.03634483
5179.25,0.0131,0.00151,0,0,0.01365,0.05361,0,0.14301,0.77512,0.01705,22.47096552
5179.75,0.01509,0.00119,0,0,0.01614,0.05609,0,0.14859,0.76291,0.01949,22.14227586
5180.25,0.01597,0.00038,0,0,0.02146,0.05325,0,0.14583,0.76312,0.02457,22.45868966
5180.75,0.01394,0.00146,0,0,0.01987,0.04864,0,0.13739,0.77871,0.02399,24.32082759
5181.25,0.00981,0.00208,0,0,0.01747,0.04267,0,0.12977,0.7982,0.02198,25.62075862
5181.75,0.00528,0.00217,0,0,0.01326,0.03787,0,0.12577,0.81565,0.01735,25.65406897
5182.25,0.0031,0.00144,0,0,0.00773,0.03728,0,0.12529,0.82516,0.01031,25.91613793
5182.75,0.00283,0.00045,0,0,0.0032,0.03768,0,0.12596,0.82988,0.00411,25.80662069
5183.25,0.00274,0,0,0,0.00242,0.03618,0,0.128,0.83067,0.00272,25.03455172
5183.75,0.00255,0,0,0,0.00669,0.0316,0,0.13104,0.82812,0.00753,24.39855172
5184.25,0.00388,0.00091,0,0,0.0088,0.02663,0,0.13212,0.82766,0.01092,24.09951724
5184.75,0.00855,0.00153,0,0,0.00455,0.02401,0,0.13244,0.82892,0.00683,24.25724138
5185.25,0.01354,0.00099,0,0,0,0.0235,0,0.13358,0.82839,0.00111,23.48344828
5185.75,0.01613,0,0,0,0,0.02306,0,0.13595,0.82486,0,23.04855172
5186.25,0.01502,0,0,0,0,0.02213,0,0.14174,0.82112,0,23.56972414
5186.75,0.01077,0,0,0,0,0.02096,0,0.14621,0.82206,0,23.95103448
5187.25,0.00542,0.00022,0,0,0,0.01992,0,0.14639,0.82805,0.00024,24.18082759
5187.75,0.00186,0.00056,0,0,0,0.01863,0,0.1421,0.83685,0.00063,25.39406897
